,sample,study,project,condition,rep_id,Strain Description,Strain,Culture Type,Evolved Sample,Base Media,Temperature (C),pH,Carbon Source (g/L),Nitrogen Source (g/L),Electron Acceptor,Trace Element Mixture,Supplement,Antibiotic for selection,Growth Rate (1/hr),Isolate Type,Additional Details,project_reference,Sequencing Machine,LibraryLayout,Platform,Biological Replicates,doi,GEO,SRX,Run,R1,R2,contact,creator,passed_fastqc,passed_pct_reads_mapped,passed_reads_mapped_to_CDS,passed_global_correlation,full_name,passed_similar_replicates,passed_number_replicates,run_date,n_replicates,,,,,,,
p1k_00725,cck_pgi__pgi_ale4__2,CCK_pgi,cck_pgi,pgi_ale4,2,Escherichia coli CCK_PGI.4.111.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,SINGLE,ILLUMINA,3,,,,,s3://precise-db/raw_data/cck/140730_11_OxicEvo04pgiEvo04EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale4,True,True,7/30/14,3,,,,,,
p1k_00726,cck_pgi__pgi_ale4__3,CCK_pgi,cck_pgi,pgi_ale4,3,Escherichia coli CCK_PGI.4.111.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,SINGLE,ILLUMINA,3,,,,,s3://precise-db/raw_data/cck/140730_11_OxicEvo04pgiEvo04EPEcoliGlcM9_Broth-3_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale4,True,True,7/30/14,3,,,,,,
p1k_00727,cck_pgi__pgi_ale5__1,CCK_pgi,cck_pgi,pgi_ale5,1,Escherichia coli CCK_PGI.5.109.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/evo04pgi-end-point-5_S3_L001_R1_001.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-5_S9_L001_R1_002.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-5_S3_L001_R2_001.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-5_S9_L001_R2_002.fastq.gz,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale5,True,True,7/31/14,2,,,,
p1k_00728,cck_pgi__pgi_ale5__2,CCK_pgi,cck_pgi,pgi_ale5,2,Escherichia coli CCK_PGI.5.109.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140731_11_OxicEvo04pgiEvo05EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale5,True,True,7/31/14,2,,,,,,
p1k_00729,cck_pgi__pgi_ale6__1,CCK_pgi,cck_pgi,pgi_ale6,1,Escherichia coli CCK_PGI.6.110.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/evo04pgi-end-point-6_S4_L001_R1_001.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-7_S3_L001_R1_001.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-6_S4_L001_R2_001.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-7_S3_L001_R2_001.fastq.gz,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale6,True,True,7/31/14,2,,,,
p1k_00730,cck_pgi__pgi_ale6__2,CCK_pgi,cck_pgi,pgi_ale6,2,Escherichia coli CCK_PGI.6.110.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140731_11_OxicEvo04pgiEvo06EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale6,True,True,7/31/14,2,,,,,,
p1k_00731,cck_pgi__pgi_ale7__1,CCK_pgi,cck_pgi,pgi_ale7,1,Escherichia coli CCK_PGI.7.97.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/evo04pgi-end-point-7_S3_L001_R1_001.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-7_S3_L001_R1_002.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-7_S3_L001_R2_001.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-7_S3_L001_R2_002.fastq.gz,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale7,True,True,8/1/14,2,,,,
p1k_00732,cck_pgi__pgi_ale7__2,CCK_pgi,cck_pgi,pgi_ale7,2,Escherichia coli CCK_PGI.7.97.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140801_10_OxicEvo04pgiEvo07EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale7,True,True,8/1/14,2,,,,,,
p1k_00733,cck_pgi__pgi_ale8__1,CCK_pgi,cck_pgi,pgi_ale8,1,Escherichia coli CCK_PGI.8.110.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,PAIRED,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/evo04pgi-end-point-8_S4_L001_R1_001.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-8_S4_L001_R1_002.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-8_S4_L001_R2_001.fastq.gz,s3://precise-db/raw_data/cck/evo04pgi-end-point-8_S4_L001_R2_002.fastq.gz,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale8,True,True,8/1/14,2,,,,
p1k_00734,cck_pgi__pgi_ale8__2,CCK_pgi,cck_pgi,pgi_ale8,2,Escherichia coli CCK_PGI.8.110.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00716,p1k_00717,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140801_11_OxicEvo04pgiEvo08EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pgi:pgi_ale8,True,True,8/1/14,2,,,,,,
p1k_00735,cck_sdh__gmos_delsdhCB__1,CCK_sdhCB,cck_sdh,gmos_delsdhCB,1,Escherichia coli GLU.4.403.1 del_sdhC del_sdhB,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00735,p1k_00736,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140716_0_OxicEvo04sdhCBEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_sdh:gmos_delsdhCB,True,True,7/16/14,2,,,,,,
p1k_00736,cck_sdh__gmos_delsdhCB__2,CCK_sdhCB,cck_sdh,gmos_delsdhCB,2,Escherichia coli GLU.4.403.1 del_sdhC del_sdhB,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00735,p1k_00736,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140716_0_OxicEvo04sdhCBEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_sdh:gmos_delsdhCB,True,True,7/16/14,2,,,,,,
p1k_00737,cck_sdh__sdh_ale1__1,CCK_sdhCB,cck_sdh,sdh_ale1,1,Escherichia coli CCK_SDH.1.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00735,p1k_00736,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140813_11_OxicEvo04sdhCBEvo01EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_sdh:sdh_ale1,True,True,8/13/14,2,,,,,,
p1k_00738,cck_sdh__sdh_ale1__2,CCK_sdhCB,cck_sdh,sdh_ale1,2,Escherichia coli CCK_SDH.1.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00735,p1k_00736,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140813_11_OxicEvo04sdhCBEvo01EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_sdh:sdh_ale1,True,True,8/13/14,2,,,,,,
p1k_00739,cck_sdh__sdh_ale2__1,CCK_sdhCB,cck_sdh,sdh_ale2,1,Escherichia coli CCK_SDH.2.178.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00735,p1k_00736,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140814_11_OxicEvo04sdhCBEvo02EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_sdh:sdh_ale2,True,False,8/14/14,1,,,,,,
p1k_00740,cck_sdh__sdh_ale3__2,CCK_sdhCB,cck_sdh,sdh_ale3,2,Escherichia coli CCK_SDH.3.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00735,p1k_00736,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140814_11_OxicEvo04sdhCBEvo02EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_sdh:sdh_ale3,True,True,8/14/14,3,,,,,,
p1k_00741,cck_sdh__sdh_ale3__1,CCK_sdhCB,cck_sdh,sdh_ale3,1,Escherichia coli CCK_SDH.3.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00735,p1k_00736,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140814_11_OxicEvo04sdhCBEvo03EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_sdh:sdh_ale3,True,True,8/14/14,3,,,,,,
p1k_00742,cck_sdh__sdh_ale3__3,CCK_sdhCB,cck_sdh,sdh_ale3,3,Escherichia coli CCK_SDH.3.176.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00735,p1k_00736,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140814_11_OxicEvo04sdhCBEvo03EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_sdh:sdh_ale3,True,True,8/14/14,3,,,,,,
p1k_00743,cck_pts__gmos_delptsHIcrr__2,CCK_ptsHIcrr,cck_pts,gmos_delptsHIcrr,2,Escherichia coli GLU.4.403.1 del_ptsH del_ptsI del_crr,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140718_0_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:gmos_delptsHIcrr,True,True,7/18/14,2,,,,,,
p1k_00744,cck_pts__gmos_delptsHIcrr__1,CCK_ptsHIcrr,cck_pts,gmos_delptsHIcrr,1,Escherichia coli GLU.4.403.1 del_ptsH del_ptsI del_crr,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140718_0_OxicEvo04ptsHIcrrEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:gmos_delptsHIcrr,True,True,7/18/14,2,,,,,,
p1k_00745,cck_pts__pts_ale1__2,CCK_ptsHIcrr,cck_pts,pts_ale1,2,Escherichia coli CCK_PTS.1.131.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140804_11_OxicEvo04ptsHIcrrEvo01EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:pts_ale1,True,True,8/4/14,2,,,,,,
p1k_00746,cck_pts__pts_ale1__1,CCK_ptsHIcrr,cck_pts,pts_ale1,1,Escherichia coli CCK_PTS.1.131.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140804_11_OxicEvo04ptsHIcrrEvo01EPEcoliGlcM9_Broth-3_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:pts_ale1,True,True,8/4/14,2,,,,,,
p1k_00747,cck_pts__pts_ale2__2,CCK_ptsHIcrr,cck_pts,pts_ale2,2,Escherichia coli CCK_PTS.2.135.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140804_11_OxicEvo04ptsHIcrrEvo02EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:pts_ale2,True,True,8/4/14,2,,,,,,
p1k_00748,cck_pts__pts_ale2__1,CCK_ptsHIcrr,cck_pts,pts_ale2,1,Escherichia coli CCK_PTS.2.135.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140804_11_OxicEvo04ptsHIcrrEvo02EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:pts_ale2,True,True,8/4/14,2,,,,,,
p1k_00749,cck_pts__pts_ale3__2,CCK_ptsHIcrr,cck_pts,pts_ale3,2,Escherichia coli CCK_PTS.3.138.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140805_11_OxicEvo04ptsHIcrrEvo03EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:pts_ale3,True,True,8/5/14,2,,,,,,
p1k_00750,cck_pts__pts_ale3__1,CCK_ptsHIcrr,cck_pts,pts_ale3,1,Escherichia coli CCK_PTS.3.138.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140805_11_OxicEvo04ptsHIcrrEvo03EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:pts_ale3,True,True,8/5/14,2,,,,,,
p1k_00751,cck_pts__pts_ale4__2,CCK_ptsHIcrr,cck_pts,pts_ale4,2,Escherichia coli CCK_PTS.4.142.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,3,,,,,s3://precise-db/raw_data/cck/140805_11_OxicEvo04ptsHIcrrEvo04EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:pts_ale4,True,True,8/5/14,2,,,,,,
p1k_00752,cck_pts__pts_ale4__1,CCK_ptsHIcrr,cck_pts,pts_ale4,1,Escherichia coli CCK_PTS.4.142.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00743,p1k_00744,,SINGLE,ILLUMINA,3,,,,,s3://precise-db/raw_data/cck/140805_11_OxicEvo04ptsHIcrrEvo04EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_pts:pts_ale4,True,True,8/5/14,2,,,,,,
p1k_00753,cck_gnd__gmos_delgnd__1,CCK_gnd,cck_gnd,gmos_delgnd,1,Escherichia coli GLU.4.403.1 del_gnd,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00753,p1k_00754,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140715_0_OxicEvo04gndEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_gnd:gmos_delgnd,True,True,7/15/14,2,,,,,,
p1k_00754,cck_gnd__gmos_delgnd__2,CCK_gnd,cck_gnd,gmos_delgnd,2,Escherichia coli GLU.4.403.1 del_gnd,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00753,p1k_00754,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140715_0_OxicEvo04gndEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_gnd:gmos_delgnd,True,True,7/15/14,2,,,,,,
p1k_00755,cck_gnd__gnd_ale1__1,CCK_gnd,cck_gnd,gnd_ale1,1,Escherichia coli CCK_GND.1.170.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00753,p1k_00754,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140812_11_OxicEvo04gndEvo01EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_gnd:gnd_ale1,True,True,8/12/14,2,,,,,,
p1k_00756,cck_gnd__gnd_ale1__2,CCK_gnd,cck_gnd,gnd_ale1,2,Escherichia coli CCK_GND.1.170.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00753,p1k_00754,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140812_11_OxicEvo04gndEvo01EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_gnd:gnd_ale1,True,True,8/12/14,2,,,,,,
p1k_00757,cck_gnd__gnd_ale2__1,CCK_gnd,cck_gnd,gnd_ale2,1,Escherichia coli CCK_GND.2.169.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00753,p1k_00754,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140812_11_OxicEvo04gndEvo02EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_gnd:gnd_ale2,True,True,8/12/14,2,,,,,,
p1k_00758,cck_gnd__gnd_ale2__2,CCK_gnd,cck_gnd,gnd_ale2,2,Escherichia coli CCK_GND.2.169.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00753,p1k_00754,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140812_11_OxicEvo04gndEvo02EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_gnd:gnd_ale2,True,True,8/12/14,2,,,,,,
p1k_00759,cck_gnd__gnd_ale3__1,CCK_gnd,cck_gnd,gnd_ale3,1,Escherichia coli CCK_GND.3.171.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00753,p1k_00754,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140814_11_OxicEvo04gndEvo03EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_gnd:gnd_ale3,True,True,8/14/14,2,,,,,,
p1k_00760,cck_gnd__gnd_ale3__2,CCK_gnd,cck_gnd,gnd_ale3,2,Escherichia coli CCK_GND.3.171.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00753,p1k_00754,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140813_11_OxicEvo04gndEvo03EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_gnd:gnd_ale3,True,True,8/13/14,2,,,,,,
p1k_00761,cck_tpiA__gmos_deltpiA__1,CCK_tpiA,cck_tpiA,gmos_deltpiA,1,Escherichia coli GLU.4.403.1 del_tpiA,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00761,p1k_00762,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140721_0_OxicEvo04tpiAEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_tpiA:gmos_deltpiA,True,True,7/21/14,2,,,,,,
p1k_00762,cck_tpiA__gmos_deltpiA__2,CCK_tpiA,cck_tpiA,gmos_deltpiA,2,Escherichia coli GLU.4.403.1 del_tpiA,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,,,p1k_00761,p1k_00762,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140721_0_OxicEvo04tpiAEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_tpiA:gmos_deltpiA,True,True,7/21/14,2,,,,,,
p1k_00763,cck_tpiA__tpiA_ale1__1,CCK_tpiA,cck_tpiA,tpiA_ale1,1,Escherichia coli CCK_TPIA.1.89.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00761,p1k_00762,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140807_11_OxicEvo04tpiAEvo01EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_tpiA:tpiA_ale1,True,True,8/7/14,2,,,,,,
p1k_00764,cck_tpiA__tpiA_ale1__2,CCK_tpiA,cck_tpiA,tpiA_ale1,2,Escherichia coli CCK_TPIA.1.89.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00761,p1k_00762,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140807_11_OxicEvo04tpiAEvo01EPEcoliGlcM9_Broth-3_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_tpiA:tpiA_ale1,True,True,8/7/14,2,,,,,,
p1k_00765,cck_tpiA__tpiA_ale2__1,CCK_tpiA,cck_tpiA,tpiA_ale2,1,Escherichia coli CCK_TPIA.2.89.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00761,p1k_00762,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140807_11_OxicEvo04tpiAEvo02EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_tpiA:tpiA_ale2,True,True,8/7/14,2,,,,,,
p1k_00766,cck_tpiA__tpiA_ale2__2,CCK_tpiA,cck_tpiA,tpiA_ale2,2,Escherichia coli CCK_TPIA.2.89.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00761,p1k_00762,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140807_11_OxicEvo04tpiAEvo02EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_tpiA:tpiA_ale2,True,True,8/7/14,2,,,,,,
p1k_00767,cck_tpiA__tpiA_ale3__1,CCK_tpiA,cck_tpiA,tpiA_ale3,1,Escherichia coli CCK_TPIA.3.88.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00761,p1k_00762,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140811_11_OxicEvo04tpiAEvo03EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_tpiA:tpiA_ale3,True,True,8/11/14,2,,,,,,
p1k_00768,cck_tpiA__tpiA_ale3__2,CCK_tpiA,cck_tpiA,tpiA_ale3,2,Escherichia coli CCK_TPIA.3.88.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00761,p1k_00762,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140811_11_OxicEvo04tpiAEvo03EPEcoliGlcM9_Broth-2_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_tpiA:tpiA_ale3,True,True,8/11/14,2,,,,,,
p1k_00769,cck_tpiA__tpiA_ale4__1,CCK_tpiA,cck_tpiA,tpiA_ale4,1,Escherichia coli CCK_TPIA.4.88.0,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,sauer trace element mixture,,,,Population,,p1k_00761,p1k_00762,,SINGLE,ILLUMINA,2,,,,,s3://precise-db/raw_data/cck/140811_11_OxicEvo04tpiAEvo04EPEcoliGlcM9_Broth-1_R1_001.fastq.gz,,Douglas McCloskey,Douglas McCloskey,True,True,True,True,cck_tpiA:tpiA_ale4,True,True,8/11/14,2,,,,,,
